Codigo,Codigo/Empresa
DEXP3,DEXP3 - Dexxos Part
BSHV39,BSHV39 - Celulose Irani
FCXO34,FCXO34 - Freeport
PMAM3,PMAM3 - Paranapanema
FESA4,FESA4 - Ferbasa
FESA3,FESA3 - Ferbasa
EUCA4,EUCA4 - Eucatex
EUCA3,EUCA3 - Eucatex
SUZB3,SUZB3 - Suzano Papel
KLBN4,KLBN4 - Klabin S/A
KLBN3,KLBN3 - Klabin S/A
KLBN11,KLBN11 - Klabin S/A
VALE5,VALE5 - Vale
UNIP6,UNIP6 - Unipar
UNIP5,UNIP5 - Unipar
UNIP3,UNIP3 - Unipar
NEMO6,NEMO6 - Suzano Holding
NEMO5,NEMO5 - Suzano Holding
NEMO3,NEMO3 - Suzano Holding
MMXM3,MMXM3 - MMX Mineração
MMXM11,MMXM11 - MMX Mineração
GOAU4,GOAU4 - Gerdau
DXCO3,DXCO3 - Dexco
CSNA3,CSNA3 - CSN
BRKM6,BRKM6 - Braskem
BRKM5,BRKM5 - Braskem
BRKM3,BRKM3 - Braskem
BRAP4,BRAP4 - Bradespar
BRAP3,BRAP3 - Bradespar
ARMT34,ARMT34 - Arcelor
RBIV11,RBIV11 - Rio Bravo
CPLE11,CPLE11 - COPEL UNT N2
GTLG11,GTLG11 - FII GTIS LG
PPLA11,PPLA11 - PPLA
BTLT39,BTLT39 - BKR 20YR TRS
BSHY39,BSHY39 - BKR 1 3 YRTR
BSHV39,BSHV39 - BKR SHORT TR
BIEI39,BIEI39 - BKR 3 7 YRTR
BIYT39,BIYT39 - BKR 7 10 YRT
BGOV39,BGOV39 - BKR US TREAS
ALUG11,ALUG11 - INVESTO ALUG
WRLD11,WRLD11 - INVESTO WRLD
CXAG11,CXAG11 - Caixa Agências
ROOF11,ROOF11 - FII ROOFTOPICI
JGPX11,JGPX11 - FIAGRO JGP CI
PURB11,PURB11 - FII PLUR URBCI
BIME11,BIME11 - FII BRIO ME CI
JSAF11,JSAF11 - FII JS A FINCI
TELD11,TELD11 - Tellus Desenvolvimento Logístico
MORC11,MORC11 - FII MORE CRICI ER
HUSI11,HUSI11 - FII HUSI CI ES
CYCR11,CYCR11 - FII CYRELA CI ES
EQIR11,EQIR11 - EQI RECECI
CACR11,CACR11 - CARTESIA FIICI
RZAG11,RZAG11 - FIAGRO RIZA CI
PORT3,PORT3 - Wilson Sons
GETT11,GETT11 - Getnet
GETT4,GETT4 - Getnet
GETT3,GETT3 - Getnet
BIYE39,BIYE39 - BKR US ENER
BSCZ39,BSCZ39 - BKR MS EAFE
BUSA39,BUSA39 - BKR MS USA S
BERU39,BERU39 - BKR MS RUSS
BSOX39,BSOX39 - BKR SEMICOND
BFCG39,BFCG39 - FT NAT GAS
BFXH39,BFXH39 - FT HCARE ALPH DRN
BFTA39,BFTA39 - FT TECH ALPH
BKYY39,BKYY39 - FT CLOUD CPT
BQTC39,BQTC39 - FT NASD100 TC
BFDN39,BFDN39 - FT DJ INTERN
BFDA39,BFDA39 - FT RISI DIVID
BFPI39,BFPI39 - FT INTL EQ OP
BQQW39,BQQW39 - FT NASD100 EQ
BFPX39,BFPX39 - FT EQ OPPORT
BCIR39,BCIR39 - FT NASD CYBER
BFDL39,BFDL39 - FT MOR DV LEA
BFBI39,BFBI39 - FT NYSE BIOT DRN
BOEF39,BOEF39 - BKR SP100 DRN ED
BURT39,BURT39 - BKR MS WLD
BICL39,BICL39 - BKR GL Clean
BIXG39,BIXG39 - BKR GL Fin
C2OI34,C2OI34 - Coinbase Glob
S2TO34,S2TO34 - Store Capital
MILA,MILA - ISHARES MILA
CSMO,CSMO - ISHARES CSMO
YDRO11,YDRO11 - IT NOW HYDROCI
SPXB11,SPXB11 - BTG S&P 500 CI
SMAB11,SMAB11 - BTG SMLL CAPCI
W2ST34,W2ST34 - West Pharma
S2QS34,S2QS34 - Squarespace
P2AT34,P2AT34 - Uipath Inc
G2DD34,G2DD34 - Godaddy Inc
D2AS34,D2AS34 - Doordash Inc
C2PT34,C2PT34 - Camden Prop
BIVW39,BIVW39 - Sp500growth
BIVE39,BIVE39 - Sp500 Value
BCWV39,BCWV39 - Msciglmivolf
A2VL34,A2VL34 - Avalara Inc
A2MC34,A2MC34 - Amc Entert H
AFHI11,AFHI11 - AF Invest
HSRE11,HSRE11 - BRL Trust DTVM
VSEC11,VSEC11 - Votorantim Asset Management
GRAO3,GRAO3 - Agribrasil
USTK11,USTK11 - INVESTO USTK
AGXY3,AGXY3 - AgroGalaxy
CRPG6,CRPG6 - Tronox
CRPG5,CRPG5 - Tronox
CRPG3,CRPG3 - Tronox
SMFT3,SMFT3 - Smart Fit
SOJA3,SOJA3 - Boa Safra
Z2NG34,Z2NG34 - Zynga Inc
T2TD34,T2TD34 - Trade Desk
T2DH34,T2DH34 - Teladochealt
S2UI34,S2UI34 - Sun Commun
S2QU34,S2QU34 - Square Inc
S2NW34,S2NW34 - Snowflake
S2HO34,S2HO34 - Shopify Inc
C2ZR34,C2ZR34 - Caesars Entt
U2ST34,U2ST34 - Unity Softwr
S2EA34,S2EA34 - Sea Ltd
P2EN34,P2EN34 - Penn Nationl
M2PW34,M2PW34 - Medical P Tr
K2CG34,K2CG34 - Kingsoft Chl
D2KN34,D2KN34 - Draftkings
C2ON34,C2ON34 - Cyrusone Inc
C2HD34,C2HD34 - Churchill Dw
B2YN34,B2YN34 - Beyond Meat
ENMT4,ENMT4 - Energisa MT
ENMT3,ENMT3 - Energisa MT
VBBR3,VBBR3 - Vibra Energia S.A
RAIZ4,RAIZ4 - Raízen
RECV3,RECV3 - PetroRecôncavo Geral SA
SLBG34,SLBG34 - Schlumberger
HALI34,HALI34 - Halliburton
COPH34,COPH34 - ConocoPhillips
COPH34,COPH34 - ConocoPhillips
CHVX34,CHVX34 - Chevron
PRIO3,PRIO3 - PETRORIO
OSXB3,OSXB3 - OSX Brasil
DMMO11,DMMO11 - Dommo
DMMO3,DMMO3 - Dommo
RPMG3,RPMG3 - Pet Manguinhos
UGPA3,UGPA3 - Ultrapar
PETR4,PETR4 - Petrobras
PETR3,PETR3 - Petrobras
EXXO34,EXXO34 - Exxon Mobil
ENAT3,ENAT3 - Enauta Part
ONCO3,ONCO3 - Oncoclínicas
VVEO3,VVEO3 - Viveo
PARD3,PARD3 - Instituto Hermes Pardini SA
BIOM3,BIOM3 - Biomm
BALM4,BALM4 - Baumer
BALM3,BALM3 - Baumer
PFIZ34,PFIZ34 - Pfizer
MRCK34,MRCK34 - Merck
GBIO33,GBIO33 - Biotoscana
PNVL3,PNVL3 - Dimed
